name,x,y
sourcebus,0,0
temp,15.9841854807,28.7947880897
temp2,0,0
aggld,0,0
0x0089f0c8,15.9841854807,28.7947880897
0x008f0780,19.2578241073,6.13154834974
0x008d8138,16.8988356321,6.08501219883
0x008ddcf8,19.4365054552,18.1026656775
0x008ddb40,18.6519268878,18.2052533585
0x008cd1c0,20.291401532,15.2681639991
0x008dcbc8,20.0771406271,15.0066938164
0x008e1248,19.6505922349,17.4571066768
0x008deac0,19.6435111485,17.8855555434
0x008f3280,17.7602904201,12.6918210434
0x008f37a8,18.0314612037,12.9522910301
0x008db8d8,12.394103857,16.5581466429
0x008d9678,9.48226826856,15.1115386966
0x008e5278,17.7514390621,15.067259745
0x008cd6e8,25.6231403511,7.57954846089
0x008f0ca8,26.9207784521,7.5887259359
0x008e74d8,15.4233287669,14.3718531333
0x008f2308,15.397529235,14.6424737587
0x008dd0f0,20.0891552573,14.6426494688
0x008e0640,19.0918248691,17.9558260774
0x008e9e18,19.9782666053,17.0145199032
0x008dbc48,19.98322917,16.6603829035
0x008ce818,10.0848280908,13.9517167073
0x008dd7d0,11.9151438172,14.9440734309
0x008d2618,14.3907960927,15.5945793475
0x008cc5b8,15.397529235,14.6424737587
0x008cf5d8,25.9049037433,8.191884731769999
0x008dc4e8,28.3093678839,8.183531742730001
0x008d5ed8,27.4169768743,7.5887259359
0x0089ccb0,26.9207784521,7.5887259359
0x008d2460,28.4059202381,7.6859476999
0x008e44b8,16.9509280504,16.5558488951
0x008ce2f0,25.174913387,6.92701511978
0x008d89d0,15.4701684121,5.19516205912
0x008d1858,15.437432898,4.36502632971
0x008d22a8,18.686519736,12.6003706812
0x008c3a80,20.0944370513,14.4820098657
0x008d0708,21.51825779,13.0093022077
0x008d5640,20.0944370513,14.4820098657
0x008cf420,20.2562282668,15.4020145662
0x008dbfb8,19.9876403385,16.3449832284
0x008db720,24.0052572162,16.0992999246
0x008996e0,12.2817931836,4.07542901071
0x008d9830,11.8153121076,3.86323876004
0x008d9ba0,11.835365512,3.60910785405
0x008db040,12.8386451737,2.30963686352
0x008c2120,13.7846667064,1.84203167132
0x008dec78,15.4701684121,3.86799644959
0x008e8298,15.4701393913,3.75243325173
0x008db568,12.1658549045,2.85654138693
0x008f11d8,19.5154711767,6.24329998949
0x008e1928,19.7584917398,6.73551811541
0x008e3358,19.4182513431,5.32238970607
0x008c8b48,25.1179454666,6.24816580835
0x008e6560,17.6055512701,18.2049424867
0x008e6a88,16.8598316153,18.2047127119
0x008e7168,15.9780041935,18.2044559048
0x008e8ce8,18.4087031788,18.2051857776
0x008ea4f8,15.742412967,17.9121553531
0x008de228,24.4482314071,16.5524022734
0x008c4bb0,25.1341971403,16.5596604532
0x008c5290,25.8540011797,16.5672835694
0x008f18b8,26.3764634674,16.5675133442
0x008efb78,20.7777038458,6.13700887979
0x008e7690,18.7072696408,19.5997835268
0x008ddeb0,21.0682605543,19.579293023
0x008c9070,25.6698639129,15.0837359483
0x008de908,25.3033886716,15.0956436883
0x008ca6c8,26.7897203122,14.699539001
0x008e2598,19.1543067502,5.24590173687
0x008dff60,19.5006415245,11.5038584017
0x008e4d50,19.5101893827,11.7583542441
0x008db1f8,24.6350385918,16.09924586
0x008dc858,22.4732177433,13.0093022077
0x008cada8,24.0359032294,13.0093022077
0x008b87e8,24.5513714932,13.0286168054
0x008c6fc8,22.0061562503,6.74293848917
0x008e1ae0,21.9920521192,7.93471268899
0x008c6050,19.491877229,11.9092892419
0x008c68e8,17.7732337174,11.969895719
0x008e09b0,18.8239044203,17.9931306886
0x008e93c8,18.34183915,17.6973024182
0x008ea868,17.604245332,17.1079436253
0x008e4f08,24.821758714,13.0789509982
0x008e8b30,26.7618603002,13.2923441874
0x008eabd8,16.7613058437,17.1183510712
0x008eb100,15.9184534179,17.1287585171
0x008d0c30,15.6752877506,17.787725552
0x008d9f10,15.4701684121,3.98354613129
0x008c8eb8,21.9914717023,8.05760164746
0x008d6770,25.7743969996,15.9142906787
0x008c3030,15.6752877506,17.787725552
0x008e1770,18.8286928598,18.0488172822
0x008f1548,16.227351301,18.0973132768
0x008d76e8,23.5718308835,6.34249511337
0x008d1330,23.5784186155,7.46845911314
0x008d2b40,18.5870943182,12.5735816452
0x008d3ac0,16.0504692456,12.8229548616
0x0089d700,23.0980655751,15.6010400736
0x0089e4c0,24.412854996,15.5982962924
0x008e0d20,19.107467105,17.9983208954
0x008dfbf0,20.5517185192,17.3949052924
0x008d0398,21.077924496,17.396770523
0x008c7338,22.0044149995,16.8666125261
0x008f3960,21.8460192229,16.6231053246
0x008ceb88,22.992110467,16.531371123
0x008d33e0,14.1229917273,11.5589097356
0x008d3598,9.88333635811,11.5671410792
0x008dd988,9.93107564952,12.5682292445
0x008d9d58,24.8231226937,12.9967051433
0x008cc090,28.6415695063,12.2298520914
0x008cd530,29.5607177358,11.459241546
0x008cdc10,29.5322482861,11.0467417524
0x008e07f8,17.7355066178,11.5518948468
0x008d4510,15.9850852799,11.5552874038
0x008e2c78,19.4237653038,5.26405394444
0x008b8d10,26.0534324324,5.8416671913
0x008d5118,26.543913748,5.19502689748
0x008c5ce0,26.5381385996,4.66934275075
0x008d1f38,21.4851740257,9.21477446874
0x008c4688,22.2414572684,10.4564908927
0x008dd618,23.5886339532,9.21477446874
0x008ce138,29.5289108888,10.2767394344
0x0089e150,29.5151840287,10.7992472827
0x008c80f8,29.5151840287,10.7992472827
0x008f2830,21.8539999555,5.8040517083
0x008de3e0,23.5558984391,5.97626114737
0x008da7a8,29.482187327,9.588901874219999
0x008ef498,20.7931139149,6.1785440502
0x008d01e0,28.4872946898,9.566194719549999
0x008de598,9.94584726005,12.8220087302
0x008ea6b0,14.6683514623,12.822738603
0x008c44d0,15.4644513055,12.822738603
0x008f3b18,15.4644513055,12.822738603
0x008cd8a0,14.2729134169,12.8226710222
0x008c5970,25.6162914314,16.2883505034
0x008ca358,27.623924526,15.3256347263
0x008eb470,26.5498630213,5.73609243826
0x008c2648,23.245868743,16.5273027578
0x008c3558,22.992110467,16.531371123
0x0089bf70,23.992488044,16.5270189184
0x008c2490,24.1723882674,16.3416041876
0x008c2b70,24.3652608088,15.9181427853
0x0089d020,22.7387584827,15.722347641
0x008cbd20,20.5387462011,15.346692909
0x008e38b0,15.5229573307,18.1183579434
0x008ce9d0,20.5389783679,15.2823289385
0x0089dde0,22.0547371462,15.6032296921
0x008e7320,15.1672488232,18.173057857
0x008e7848,14.8385877441,18.2235947923
0x008d7dc8,11.9394632861,18.4560457721
0x008eda38,11.3366712971,18.1807350379
0x0089fcd0,11.3420111327,18.0579271764
0x008e4300,14.5097525398,18.2741722761
0x008e2750,14.0603357211,18.34328042
0x008e2ac0,13.3613976698,18.4507744683
0x008c63c0,19.4072524425,6.11765373366
0x008cce50,24.7000162656,11.3616683618
0x008d3e30,23.6503903132,11.3616683618
0x008d0a78,18.9291630281,12.4724537099
0x008d0de8,21.8875770742,12.3654327274
0x008d14e8,22.8421887773,10.4478810965
0x008d0550,22.2414572684,10.4564908927
0x008ee368,19.4249841794,5.23423728777
0x008d8660,20.7301967211,5.17887508211
0x008d4358,22.7875135038,5.16154736051
0x008d1bc8,24.0180263883,4.88914260147
0x008d6ae0,23.9911821059,4.37865062251
0x0089f7a8,23.9795737676,4.1578100272
0x008ef808,28.2365836026,15.3237424634
0x008e0b68,18.9880463243,6.7000922509
0x008ee520,18.3538537801,9.89535384909
0x008d99e8,18.3538247593,11.5333506705
0x008f1a70,19.3141825899,6.25405885563
