name,enabled,n_phases,n_conds,base_freq,terminal1,terminal2,length,units,line_code,geometry
temp,true,3,3,60,temp,temp2,0.001,none,,
temp1,true,3,3,60,temp2,aggld,0.001,none,,
temp2,true,3,3,60,temp2,0x0089f0c8,0.001,none,,
0x008f0780_0x008d8138,true,1,1,60,0x008f0780.1,0x008d8138.1,0.0813589,none,,
0x008ddcf8_0x008ddb40,true,1,1,60,0x008ddcf8.1,0x008ddb40.1,0.0384401,none,,
0x008cd1c0_0x008dcbc8,true,1,1,60,0x008cd1c0.1,0x008dcbc8.1,0.020706,none,,
0x008e1248_0x008deac0,true,1,1,60,0x008e1248.1,0x008deac0.1,0.0410587,none,,
0x008f3280_0x008f37a8,true,1,1,60,0x008f3280.1,0x008f37a8.1,0.0342286,none,,
0x008db8d8_0x008d9678,true,1,1,60,0x008db8d8.1,0x008d9678.1,0.199725,none,,
0x008f37a8_0x008e5278,true,1,1,60,0x008f37a8.1,0x008e5278.1,0.170388,none,,
0x008cd6e8_0x008f0ca8,true,1,1,60,0x008cd6e8.1,0x008f0ca8.1,0.0447192,none,,
0x008e5278_0x008e74d8,true,1,1,60,0x008e5278.1,0x008e74d8.1,0.132224,none,,
0x008e74d8_0x008f2308,true,1,1,60,0x008e74d8.1,0x008f2308.1,0.0200417,none,,
0x008dcbc8_0x008dd0f0,true,1,1,60,0x008dcbc8.1,0x008dd0f0.1,0.0269372,none,,
0x008e0640_0x008e9e18,true,1,1,60,0x008e0640.1,0x008e9e18.1,0.0795265,none,,
0x008e9e18_0x008dbc48,true,1,1,60,0x008e9e18.1,0x008dbc48.1,0.0262016,none,,
0x008ce818_0x008dd7d0,true,1,1,60,0x008ce818.1,0x008dd7d0.1,0.13613,none,,
0x008dd7d0_0x008d2618,true,1,1,60,0x008dd7d0.1,0x008d2618.1,0.133986,none,,
0x008d2618_0x008cc5b8,true,1,1,60,0x008d2618.1,0x008cc5b8.1,0.106304,none,,
0x008d9678_0x008ce818,true,1,1,60,0x008d9678.1,0x008ce818.1,0.124964,none,,
0x008cf5d8_0x008dc4e8,true,1,1,60,0x008cf5d8.1,0x008dc4e8.1,0.08285530000000001,none,,
0x008d5ed8_0x0089ccb0,true,1,1,60,0x008d5ed8.1,0x0089ccb0.1,0.017098,none,,
0x008dc4e8_0x008d2460,true,1,1,60,0x008dc4e8.1,0x008d2460.1,0.0401161,none,,
0x008d2460_0x008d5ed8,true,1,1,60,0x008d2460.1,0x008d5ed8.1,0.041271,none,,
0x008e44b8_0x008db8d8,true,1,1,60,0x008e44b8.1,0x008db8d8.1,0.157019,none,,
0x008ce2f0_0x008cd6e8,true,1,1,60,0x008ce2f0.1,0x008cd6e8.1,0.0616753,none,,
0x008d89d0_0x008d1858,true,1,1,60,0x008d89d0.1,0x008d1858.1,0.0614284,none,,
0x008d22a8_0x008e44b8,true,1,1,60,0x008d22a8.1,0x008e44b8.1,0.348184,none,,
0x008dd0f0_0x008c3a80,true,1,1,60,0x008dd0f0.1,0x008c3a80.1,0.0118864,none,,
0x008d0708_0x008d5640,true,1,1,60,0x008d0708.1,0x008d5640.1,0.149676,none,,
0x008cf420_0x008e1248,true,1,1,60,0x008cf420.1,0x008e1248.1,0.169986,none,,
0x008dbfb8_0x008db720,true,1,1,60,0x008dbfb8.1,0x008db720.1,0.152465,none,,
0x008996e0_0x008d9830,true,1,1,60,0x008996e0.1,0x008d9830.1,0.0253621,none,,
0x008deac0_0x008ddcf8,true,1,1,60,0x008deac0.1,0x008ddcf8.1,0.0180763,none,,
0x008d9830_0x008d9ba0,true,1,1,60,0x008d9830.1,0x008d9ba0.1,0.0188147,none,,
0x008db040_0x008c2120,true,1,1,60,0x008db040.1,0x008c2120.1,0.0475343,none,,
0x008dec78_0x008e8298,true,1,1,60,0x008dec78.1,0x008e8298.1,0.00855,none,,
0x008db568_0x008db040,true,1,1,60,0x008db568.1,0x008db040.1,0.047294,none,,
0x008d9ba0_0x008db568,true,1,1,60,0x008d9ba0.1,0x008db568.1,0.0577868,none,,
0x008f11d8_0x008e1928,true,1,1,60,0x008f11d8.1,0x008e1928.1,0.0373674,none,,
0x008e3358_0x008c8b48,true,1,1,60,0x008e3358.1,0x008c8b48.1,0.25676,none,,
0x008e6560_0x008e6a88,true,1,1,60,0x008e6560.1,0x008e6a88.1,0.025696,none,,
0x008e6a88_0x008e7168,true,1,1,60,0x008e6a88.1,0x008e7168.1,0.030386,none,,
0x008ddb40_0x008e8ce8,true,1,1,60,0x008ddb40.1,0x008e8ce8.1,0.008381,none,,
0x008e8ce8_0x008e6560,true,1,1,60,0x008e8ce8.1,0x008e6560.1,0.027675,none,,
0x008e7168_0x008ea4f8,true,1,1,60,0x008e7168.1,0x008ea4f8.1,0.0249818,none,,
0x008de228_0x008c4bb0,true,1,1,60,0x008de228.1,0x008c4bb0.1,0.0236431,none,,
0x008c4bb0_0x008c5290,true,1,1,60,0x008c4bb0.1,0x008c5290.1,0.0248094,none,,
0x008c5290_0x008f18b8,true,1,1,60,0x008c5290.1,0x008f18b8.1,0.018039,none,,
0x008efb78_0x008cf5d8,true,1,1,60,0x008efb78.1,0x008cf5d8.1,0.331713,none,,
