name,n_phases,r1,x1,r0,x0,c1,c0,units,r_matrix,x_matrix,c_matrix,rg,xg,rho,symmetrical_components
6,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.75725409 |  0.01804955   0.75725409 |  0.01804955   0.01804955   0.75725409 ],[  0.30170015 |  0.27038088   0.30170015 |  0.26241611   0.27038088   0.30170015 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
4,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.48263288 |  0.01804955   0.48263288 |  0.01804955   0.01804955   0.48263288 ],[  0.29636587 |  0.26505374   0.29636587 |  0.25708896   0.26505374   0.29636587 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
2,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.30990561 |  0.01804955   0.30990561 |  0.01804955   0.01804955   0.30990561 ],[  0.29102854 |  0.25976762   0.29102854 |  0.25180285   0.25976762   0.29102854 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
1,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.24986773 |  0.01804955   0.24986773 |  0.01804955   0.01804955   0.24986773 ],[  0.28837672 |  0.25709580   0.28837672 |  0.24913103   0.25709580   0.28837672 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
1/0a,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.25386817 ],[  0.07582623 ],[ 15.00000000 ],0.01805,0.155081,100,false
1/0a_split,2,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.28652320 |  0.10281108   0.28652320 ],[  0.12019001 |  0.08090597   0.12019001 ],[ 15.00000000 |-12.00000000  15.00000000 ],0.01805,0.155081,100,false
1/0a3,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.20176167 |  0.01804955   0.20176167 |  0.01804955   0.01804955   0.20176167 ],[  0.28577060 |  0.25445134   0.28577060 |  0.24648656   0.25445134   0.28577060 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
2/0,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.16369348 |  0.01804955   0.16369348 |  0.01804955   0.01804955   0.16369348 ],[  0.28304078 |  0.25174451   0.28304078 |  0.24377973   0.25174451   0.28304078 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
3/0,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.13376924 |  0.01804955   0.13376924 |  0.01804955   0.01804955   0.13376924 ],[  0.28043632 |  0.24912419   0.28043632 |  0.24115942   0.24912419   0.28043632 ],[ 15.00000000 |-12.00000000  15.00000000 |-12.00000000 -12.00000000  15.00000000 ],0.01805,0.155081,100,false
4/0a,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,none,[  0.12983011 ],[  0.05932303 ],[ 15.00000000 ],0.01805,0.155081,100,false
