name,enabled,n_phases,n_conds,base_freq,terminal1,kv,kw,kvar,kva,pf,model,vmin_pu,vmax_pu,r_neut,x_neut,connection,spec_type,status,yearly,daily,duty,spectrum
aggregated,true,3,4,60,aggld,12.47,9723.200000000001,0,9723.200000000001,1,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,Aggregated,,,defaultload
0x00899528_1_1,true,1,2,60,0x00899528_drop-1-1.3,0.24,4.6768639,2.1515571,5.148033983345838,0.9084757239617884,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,23,,,defaultload
0x00899528_1_2,true,1,2,60,0x00899528_drop-1-2.3,0.24,4.6768639,2.1515571,5.148033983345838,0.9084757239617884,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,23,,,defaultload
0x00899528_1_3,true,1,2,60,0x00899528_drop-1-3.3,0.24,4.6768639,2.1515571,5.148033983345838,0.9084757239617884,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,23,,,defaultload
0x00899528_1_4,true,1,2,60,0x00899528_drop-1-4.3,0.24,4.6768639,2.1515571,5.148033983345838,0.9084757239617884,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,23,,,defaultload
0x00899528_1_5,true,1,2,60,0x00899528_drop-1-5.3,0.24,4.6768639,2.1515571,5.148033983345838,0.9084757239617884,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,23,,,defaultload
0x00899528_1_6,true,1,2,60,0x00899528_drop-1-6.3,0.24,4.6768639,2.1515571,5.148033983345838,0.9084757239617884,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,23,,,defaultload
0x00899528_1_7,true,1,2,60,0x00899528_drop-1-7.3,0.24,4.6768639,2.1515571,5.148033983345838,0.9084757239617884,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,23,,,defaultload
0x00899528_1_8,true,1,2,60,0x00899528_drop-1-8.3,0.24,4.6768639,2.1515571,5.148033983345838,0.9084757239617884,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,23,,,defaultload
0x00899528_1_9,true,1,2,60,0x00899528_drop-1-9.3,0.24,4.6768639,2.1515571,5.148033983345838,0.9084757239617884,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,23,,,defaultload
0x00899528_1_10,true,1,2,60,0x00899528_drop-1-10.3,0.24,4.6768639,2.1515571,5.148033983345838,0.9084757239617884,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,23,,,defaultload
0x00899528_2_1,true,1,2,60,0x00899528_drop-2-1.3,0.24,4.533787,1.998143,4.954573645614524,0.9150710685293824,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,26,,,defaultload
